branch_id,diameter_mean_mm,diameter_std_mm,diameter_min_mm,diameter_max_mm,length_mm,num_points,volume_mm3,surface_area_mm2
907,4.797132160623776,0.32655324546705256,4.4705789151567235,5.123685406090829,0.7792969942092896,2,14.084980476338508,11.744500676426663
908,4.797132160623776,0.32655324546705256,4.4705789151567235,5.123685406090829,0.7792969942092896,2,14.084980476338508,11.744500676426663
909,3.746208726003681,0.5327543237526673,3.2045615852571356,4.4705789151567235,1.399999976158142,3,15.431276457713864,16.4766862568017
910,3.126419898902654,0.39267091824003053,2.611212433853643,3.563485677597184,1.558593988418579,3,11.9651319033269,15.308413188550336
911,2.439156750008855,0.2433234815766767,2.0950453823192787,2.611212433853643,1.558593988418579,3,7.282865669976718,11.943251568313974
912,3.18350903902089,0.5722966051672471,2.611212433853643,3.755805644188137,1.0475226911596394,2,8.33806920290112,10.476576759418345
913,4.78128197156528,0.29057976089702114,4.4083695133094585,5.123685406090829,3.117187976837158,5,55.96823185918247,46.82278283693005
914,4.599910579725748,0.25354052523475834,4.4083695133094585,5.123685406090829,4.164710667996798,6,69.21074040187602,60.18442245979699
915,5.495887911548131,0.47197501028941374,5.123685406090829,6.278518742706765,2.526819673448,4,59.94319183541097,43.627666939463204
916,3.842214643209859,0.6376530579527235,3.2045615852571356,4.479867701162583,0.7792969942092896,2,9.035581928943925,9.406639418140813
917,3.746208726003681,0.5327543237526673,3.2045615852571356,4.4705789151567235,1.826819685368929,3,20.135828630998116,21.499953797265626
918,5.146358378786837,0.6664906776242541,4.479867701162583,5.812849056411091,0.7792969942092896,2,16.210370258165195,12.599488076838135
919,4.6115593396000705,0.13169163843748777,4.479867701162583,4.743250978037558,1.0475226911596394,2,17.49640904111615,15.176132629041259
920,5.812849056411091,0.0,5.812849056411091,5.812849056411091,0.699999988079071,2,18.576590400319734,12.783122506737927
921,2.4076985952541863,0.20351383859945682,2.2041847566547292,2.611212433853643,0.7792969942092896,2,3.548110373468464,5.894608869170159
922,3.365892125796884,0.9037954974280443,2.2041847566547292,4.4083695133094585,1.826819685368929,3,16.25496169111127,19.317269934505536
923,2.4076985952541863,0.20351383859945682,2.2041847566547292,2.611212433853643,1.0475226911596394,2,4.769332044862151,7.923470245425204
924,3.18350903902089,0.5722966051672471,2.611212433853643,3.755805644188137,0.7792969942092896,2,6.203046790458155,7.793974151700157
925,3.38402363142716,0.17946204617002426,3.2045615852571356,3.563485677597184,0.7792969942092896,2,7.0090580490285,8.284880736571614
926,4.017032296376954,0.45354661877976965,3.563485677597184,4.4705789151567235,0.699999988079071,2,8.871530721331558,8.83391525563086
927,4.6115593396000705,0.13169163843748777,4.479867701162583,4.743250978037558,0.7792969942092896,2,13.016328037823989,11.290175039970585
928,4.3399338148185045,0.13993388634407822,4.199999928474426,4.479867701162583,0.699999988079071,2,10.355095937673678,9.544012770256245
929,4.684292872102599,0.05895810593495865,4.625334766167641,4.743250978037558,0.7792969942092896,2,13.430153085583465,11.468243726234125
930,4.114186542732011,0.6290644353055477,3.485122107426463,4.743250978037558,0.699999988079071,2,9.305846243224076,9.047568598622233
931,4.172942128967854,0.49436205811925177,3.485122107426463,4.625334766167641,1.558593988418579,3,21.316092783746686,20.432675196498888
932,4.190570205177889,0.4347645609897519,3.755805644188137,4.625334766167641,0.7792969942092896,2,10.748283777345852,10.259495248704074
933,3.38402363142716,0.17946204617002426,3.2045615852571356,3.563485677597184,0.7792969942092896,2,7.0090580490285,8.284880736571614
934,2.606533523511138,0.3713772637059721,2.0950453823192787,3.2045615852571356,5.996484935283661,9,31.997294471502777,49.10321571985882
