branch_id,diameter_mean_mm,diameter_std_mm,diameter_min_mm,diameter_max_mm,length_mm,num_points,generation,volume_mm3,surface_area_mm2,proximal_node,distal_node,distance_from_carina_proximal_mm,distance_from_carina_distal_mm
41,7.116018197728778,0.8950196338500077,5.450040065869424,8.280723413527017,9.193763868287794,10,2,365.64305308966516,205.5323878774608,592,619,66.78452068630727,75.97828455459506
42,5.6092263879031,0.524643128527705,4.928706950848807,6.389635628499902,3.311212421932714,4,3,81.82440593544948,58.34986878897424,619,653,75.97828455459506,79.28949697652777
43,3.5471679052202374,1.151278186637904,2.0950453823192787,5.23037859835436,16.794224725336154,16,4,165.96378626507502,187.15075316376445,653,683,79.28949697652777,96.08372170186392
44,3.1164985450043448,0.8497723999055224,2.0950453823192787,4.928706950848807,17.29634843776033,21,4,131.94051166351906,169.34455095448806,653,827,79.28949697652777,96.5858454142881
45,2.843154775211926,0.19493544997217885,2.611212433853643,3.2045615852571356,3.64349719955469,5,5,23.131794540955905,32.54384142943,683,669,96.08372170186392,99.72721890141861
46,2.2807301448016917,0.5386232597156201,1.399999976158142,2.799999952316284,14.967687545629198,17,6,61.149427505599995,107.24535323913459,669,763,99.72721890141861,114.69490644704781
47,2.026542568227507,0.5642994389439024,1.558593988418579,3.2045615852571356,10.801831789598673,13,5,34.84165312567783,68.77063165991464,683,711,96.08372170186392,106.88555349146259
48,5.156571242869779,1.9416739420402331,3.117187976837158,9.195287784415285,22.066547203955203,22,2,460.83590578527014,357.47467383291837,686,805,39.596324388542726,61.66287159249793
49,10.8808379918924,1.6925053938429722,8.848007749446916,15.103854865940086,39.596324388542726,41,1,3681.878414888521,1353.527519711988,1033,686,0.0,39.596324388542726
50,1.6271137913497746,0.3177362981938577,1.399999976158142,2.0950453823192787,15.13582028876122,16,7,31.47253290535182,77.37020747453376,763,837,114.69490644704781,129.83072673580904
51,1.4264323115348816,0.05910449870646204,1.399999976158142,1.558593988418579,5.922424855786357,6,7,9.46437143839256,26.539980514627086,763,814,114.69490644704781,120.61733130283417
52,1.399999976158142,0.0,1.399999976158142,1.399999976158142,19.41981250227663,21,6,29.894477724509436,85.41279495316961,867,769,92.54962708733933,111.96943958961596
53,3.1102634956823323,0.3921740002252046,2.799999952316284,4.1900907646385575,11.497418843481956,11,3,87.35436286910998,112.34335996339254,805,913,61.66287159249793,73.16029043597989
54,2.35200179446812,0.435760562740583,1.558593988418579,3.2045615852571356,12.023728066199485,11,3,52.24013906403162,88.84370613474834,805,934,61.66287159249793,73.68659965869742
55,2.1653950363419505,0.30288773301103217,1.399999976158142,2.611212433853643,11.562130701832846,11,5,42.57964435447909,78.65473715393718,827,950,96.5858454142881,108.14797611612094
56,1.592819091208561,0.3713259893617779,1.399999976158142,2.799999952316284,33.634613361674404,40,5,67.02074111052846,168.3072270553364,827,1085,96.5858454142881,130.2204587759625
57,1.598584377918467,0.3139895086722886,1.399999976158142,2.0950453823192787,4.675781965255737,7,8,9.384589099536697,23.48224899271558,837,830,129.83072673580904,134.50650870106477
58,1.5263718681874396,0.26807526541587157,1.399999976158142,2.0950453823192787,9.859386676575667,11,8,18.040995047643833,47.27811203456583,837,975,129.83072673580904,139.6901134123847
59,2.031878628366891,0.5706726079094963,1.399999976158142,2.799999952316284,14.067963917867562,17,5,45.615942429272366,89.80052605983829,907,867,78.48166316947177,92.54962708733933
60,1.45792042667157,0.19210040204138865,1.399999976158142,2.0950453823192787,10.955871695305829,12,6,18.289610662367867,50.17999700881623,867,953,92.54962708733933,103.50549878264516
61,2.7768855348238453,0.1952479603542675,2.611212433853643,3.2045615852571356,5.321372733491888,7,4,32.227715248684596,46.42282131478495,913,907,73.16029043597989,78.48166316947177
62,1.6351385118837383,0.4220743441141162,1.399999976158142,2.611212433853643,12.028301467720082,13,5,25.258251347758545,61.78865255558108,907,921,78.48166316947177,90.50996463719186
63,2.2866154836190695,0.49270852082970196,1.399999976158142,2.799999952316284,8.9907423400428,10,4,36.920851874941405,64.58602618487664,913,1012,73.16029043597989,82.15103277602269
64,1.597049748995496,0.2782419919208797,1.399999976158142,2.611212433853643,12.241144232498634,15,4,24.52159900088492,61.417245183021706,934,959,73.68659965869742,85.92774389119606
65,1.5852871335229348,0.36382824330768776,1.399999976158142,2.611212433853643,12.72372805427856,12,4,25.114245154015347,63.36831889426802,934,1034,73.68659965869742,86.41032771297597
66,1.5064388346074553,0.19861400718075514,1.399999976158142,2.0950453823192787,9.704835165546735,11,6,17.297408840238866,45.929269593600694,950,998,108.14797611612094,117.85281128166768
67,1.5737613276984264,0.30096348925960875,1.399999976158142,2.0950453823192787,8.364992941186205,8,6,16.271710109025673,41.3575040195517,950,1017,108.14797611612094,116.51296905730715
68,1.459472730755806,0.07677899603661092,1.399999976158142,1.558593988418579,6.895696957723521,8,5,11.536126738488658,31.617245037567876,1012,1053,82.15103277602269,89.0467297337462
69,1.450214059594705,0.16545400220377635,1.399999976158142,2.0950453823192787,13.80130307928291,17,5,22.79681616119033,62.878486138967396,1012,1077,82.15103277602269,95.95233585530559
70,15.33396657508532,0.638389020123145,14.027345895767212,16.14191814725371,5.505606145401248,8,1,1016.7262722789495,265.2219873573821,1033,1065,0.0,5.505606145401248
71,1.452864646911621,0.07476193434995831,1.399999976158142,1.558593988418579,2.4076985952541863,3,5,3.991556792276996,10.989480130201848,1034,1042,86.41032771297597,88.81802630823016
72,1.4317187786102294,0.0634376049041748,1.399999976158142,1.558593988418579,3.495045358477421,5,5,5.626756745468966,15.720284819986404,1034,1057,86.41032771297597,89.9053730714534
